company_0,company_1,company_2,company_3,company_4,company_5,company_6,company_7,company_8,company_9
243.721982,228.485243,242.833186,234.739244,229.019490,233.656452,235.074827,246.410618,234.896405,235.439238
243.852151,232.913493,245.369438,233.513477,231.014143,232.339876,240.976953,241.961847,233.882014,229.875937
240.766252,224.758933,242.680933,240.507189,231.761469,232.091451,236.196708,248.536818,239.302860,236.393410
240.786034,234.696004,238.161972,236.235633,236.089498,233.662411,239.677101,240.760690,235.833080,233.398038
237.371120,236.484476,237.613367,233.102913,236.981201,237.184268,233.566793,247.548751,236.189756,233.857909
234.900119,235.815195,239.337912,236.599894,241.158122,233.787344,232.881279,245.889540,235.850946,232.732521
237.554278,234.442116,233.641210,232.464312,234.247480,242.439978,238.302441,241.628439,237.881410,231.961374
237.256047,233.176355,239.290150,232.523304,234.831525,240.973508,233.643086,240.023567,236.580503,237.452467
238.941823,225.313877,240.894767,231.603345,237.112606,239.785586,232.964029,239.843721,238.983787,239.601945
235.316453,234.469632,242.388445,238.149086,231.148626,235.619374,241.392829,230.146004,236.912000,236.873252
236.794712,231.339109,241.196847,239.655196,230.283486,236.435861,233.834577,238.160633,238.146143,235.055903
233.159615,240.117773,242.005984,232.089979,230.712941,239.224945,232.569681,237.582581,240.835693,235.467519
235.641320,237.296744,245.350499,229.289901,232.310995,235.011548,233.070149,238.926420,239.598099,235.416960
243.413437,234.828218,243.488991,229.936510,229.866784,235.323969,232.410307,231.794877,234.349532,237.440841
239.336450,234.880402,242.708847,235.119026,227.531737,233.582502,232.075816,239.777556,240.185881,237.764036
239.207958,238.931182,243.340929,235.044837,231.671105,231.793278,233.952098,238.514278,233.826138,234.637773
241.737867,234.949408,242.621842,234.925606,234.210093,238.289362,230.435088,236.241762,237.737698,236.572988
237.592914,236.106531,238.301015,237.002889,232.362801,235.371842,230.251361,237.994113,238.387142,237.213000
236.035847,237.721514,236.266832,233.513727,237.899616,240.046080,234.506795,239.598786,237.281115,234.668860
237.622699,231.451938,234.886467,232.006183,233.338025,244.475111,228.440098,243.688349,235.019655,242.797511
235.810320,234.281719,237.923624,225.626528,237.437039,241.004149,239.581917,238.216438,235.514135,234.108937
234.792484,236.089866,238.394119,228.240176,234.907193,239.973322,238.582069,238.250063,235.005381,237.267575
233.028311,233.724085,239.412834,240.155215,232.604261,241.739644,235.235749,239.233750,239.178924,237.883847
236.944160,233.623729,239.846687,232.714984,228.425805,239.166294,236.429554,235.632485,239.450764,243.098065
235.793823,238.003064,240.866821,231.993516,228.612807,240.872923,235.811280,235.820336,234.682131,241.006480
234.787651,233.350586,243.221622,237.339890,228.552338,235.806784,240.016544,232.985315,236.009134,239.591957
232.894323,232.609686,237.233449,235.504069,230.164474,237.689042,244.438333,230.362806,240.039549,239.221636
230.186094,236.125503,240.237725,229.114324,234.696819,237.200400,231.224940,232.582584,241.836523,242.039018
235.728920,233.242158,235.211936,236.476389,235.168252,240.351131,237.586001,232.875499,237.443807,234.743168
238.229540,230.651351,238.581821,236.938152,232.686114,237.755944,239.935561,237.839991,237.581876,236.085189
236.019509,235.865832,237.714624,238.376965,231.965817,240.015636,236.452763,239.034335,233.968942,236.890835
232.837611,236.335955,240.088666,233.167751,229.109636,235.662390,234.576958,241.096587,240.516778,239.247235
232.537857,237.989897,240.293867,232.155974,235.029899,236.831542,234.171743,239.171275,233.635742,229.924570
237.114921,238.430337,242.262728,236.778662,228.047102,233.851580,233.760085,238.604322,239.933638,237.170665
239.876862,235.909483,245.203860,231.532062,231.553653,237.017283,233.800486,235.311164,244.036038,229.230853
237.364126,236.131371,241.345178,232.535629,229.718093,235.152907,239.394978,237.770227,241.236327,236.183903
242.959598,234.671025,242.298287,233.468326,229.238875,235.259773,228.357390,244.740449,238.595851,236.836782
239.562765,237.555624,245.456857,227.143009,228.841951,237.757874,231.037223,240.661767,231.540387,241.387640
247.282430,234.520745,240.746543,226.313371,227.097390,236.502076,235.936597,243.612909,233.085405,240.726089
244.394778,235.591749,240.762220,231.011030,229.749831,231.101295,237.971169,237.906670,237.173115,239.488164
242.685776,244.086030,237.796499,228.890698,230.426808,234.354807,236.404538,239.749331,231.987905,237.564529
238.260071,237.697781,242.943096,227.693004,225.482194,235.494806,234.962299,238.161217,241.510007,238.750233
241.735230,241.617637,241.161040,230.549618,231.345002,229.680900,236.705608,235.011543,231.113356,239.743223
241.110854,236.451343,243.136984,232.716477,224.391403,224.876358,237.182275,236.775381,238.355918,243.648713
239.139336,235.362402,238.923115,234.710713,231.080986,232.324462,240.846010,233.356507,234.749931,244.600828
240.405890,231.878251,238.156754,236.457215,233.798380,237.444228,236.459698,234.533517,234.691931,239.843279
239.103217,231.943676,236.896114,236.365679,235.103220,234.264283,241.868845,237.823151,230.119861,237.544595
236.170896,231.294925,236.537844,232.943064,227.998260,233.852305,242.629821,239.786226,234.391434,240.770330
239.740183,229.055978,240.261626,236.868706,231.538071,234.032660,237.661387,238.084349,235.575926,235.332681
237.662615,232.193113,244.511893,236.174212,235.651395,234.172005,238.555215,242.215119,233.334123,234.239393
235.960868,239.068971,240.216813,233.959465,233.296697,233.216328,241.039069,239.489055,231.077829,238.173345
233.825099,236.786080,238.258711,240.456498,228.743670,238.825935,239.271001,240.573199,235.102086,234.202567
234.705388,241.913877,238.691334,232.587211,229.379700,236.969858,236.742169,237.206921,232.276468,238.649307
230.585316,234.752458,240.711125,235.855493,227.956813,246.866824,235.899361,233.346761,236.164335,238.801869
236.658390,235.109391,242.924350,237.436989,227.879031,240.146605,229.440829,241.407102,235.256283,236.006622
237.228115,237.629513,241.693736,235.403419,230.910172,239.624247,230.474792,233.745913,238.248071,237.906272
238.845422,234.155972,240.082236,232.782897,230.915445,241.185520,229.623209,235.634288,233.619802,241.301476
238.941358,240.282901,235.375766,227.448753,231.795696,241.730956,229.776476,235.458470,240.760261,237.708914
248.192702,232.309208,247.697231,232.649751,232.571674,232.337702,235.856137,235.049519,235.434916,235.243840
240.075711,235.304247,246.696826,230.262558,231.616443,236.007977,234.404808,238.298372,238.969985,231.769515
238.763994,238.925709,247.108152,229.923155,231.099770,233.323850,234.849657,240.592212,234.969290,235.401123
238.902705,243.354974,240.451898,231.812474,230.121345,230.959701,237.084480,235.356944,233.135549,233.814300
239.664497,238.973453,240.769087,232.758100,225.638846,233.554111,241.378385,235.079690,235.461293,237.717776
243.382224,237.193923,240.417853,233.074533,224.044989,239.985249,234.703519,239.350064,235.806561,238.587898
245.608157,234.958451,242.494263,233.510998,220.211915,238.741398,239.019804,238.154188,232.714115,236.207558
242.111500,236.959680,239.118268,232.769854,228.286418,237.468178,237.859599,238.045033,233.441188,234.189257
245.095778,236.220907,240.654180,235.461490,232.277109,232.982418,233.598071,231.635561,236.126724,236.123387
247.355562,238.726770,239.971080,233.116277,228.269822,236.946434,236.417620,231.889570,239.111812,230.900112
243.529025,235.664112,242.475333,233.909462,225.373426,241.270596,234.645380,237.950130,236.566489,234.426504
241.489928,233.830993,238.618650,229.330957,228.477529,231.987396,238.703998,238.677307,235.327020,243.410503
239.545942,229.447476,243.925235,236.517642,224.581502,232.623093,234.737841,236.662558,236.334704,244.025240
239.644963,234.533260,238.220745,235.153265,221.949624,236.028975,233.067305,236.963272,239.509839,243.720596
234.033173,235.437406,235.068700,229.453246,227.838060,237.789818,232.843198,240.250611,239.439419,249.193052
